file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0483_0216_2072602_to_2076066,ད་ལྟ་དེའི་སྔོན་གུང་སེང་དེ་ལ་ཡང་ཨེ་ནས་ང་རང་ད།  ,da lta de'i sngon gung seng de la yang e nas nga rang da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0483_0216_2072602_to_2076066.wav,STT_NS,3,46,3.464,wav16k/STT_NS_M0483_0216_2072602_to_2076066.wav,ད་ལྟ་འདིའི་སྔོན་གུང་སེང་དེ་ལ་ཡང་ཨེ་ནས་ང་རང་ད།
STT_MV0024_0154_1474471_to_1484470,གཅེན་པོ་ལན་ཞའོ་ཧྲོ་དམག་སྡེ་བརྒྱད་པའི་ལག་པར་ཐེབས་ཤག མི་ག་བར་འདུག དམག་སྲུང་གི་སྨན་དོན་ཁང་ནང་མྱུར་སྐྱོབ་བྱེད་པའི་སྒང་རེད་ཤག ,gcen po lan zha'o hro dmag sde brgyad pa'i lag par thebs shag_mi ga bar 'dug_dmag srung gi sman don khang nang myur skyob byed pa'i sgang red shag_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0024_0154_1474471_to_1484470.wav,STT_MV,3,121,9.999,wav16k/STT_MV0024_0154_1474471_to_1484470.wav,གཅེན་པོ་ ལེན་ཞའོ་ཧྲོས་དམག་སྡེ་བརྒྱད་པའི་ལག་པར་ཐེབས་ཤག མི་ག་བར་འདུག དམག་སྲུགས་ཀི་སྨན་སྟོན་ཁང་ན་མྱུར་སྐྱོབ་བྱེས་པའི་སྒང་རེད་ཤག
STT_MV0024_0156_1499063_to_1505137,གཅེན་པོ། ལན་ཞའོ་ཧྲོས་ཁོས་ངོ་ལོག་བྱེད་རྒྱུ་ཉག་གཅིག་རེད། ཁོ་དེ་འདྲས་བྱེད་དུ་བཅུག་པ་ལས།  ,gcen po/_lan zha'o hros khos ngo log byed rgyu nyag gcig red/_kho de 'dras byed du bcug pa las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0024_0156_1499063_to_1505137.wav,STT_MV,3,86,6.074,wav16k/STT_MV0024_0156_1499063_to_1505137.wav,གཅེན་པོ། ལེན་ཞའོ་ཧྲོས་ཁོས་ངོ་ལོག་བྱེད་རྒྱུ་ཉག་གཅིག་རེད། ཁོས་དེ་འདྲས་བྱེད་རུ་བཅུག་པ་ལས
STT_PC0057_0231_1429619_to_1432755,ང་ཚོས་ད་ལྟ་སོ་སོ་ལ་ཡོད་པའི་ཅ་ལག་མང་པོ་ཅིག་གི་རིན་ཐང་དེ་བསྔོག་འདོན་མ་ཐུབ་པ་བྱས།  ,nga tshos da lta so so la yod pa'i ca lag mang po cig gi rin thang de bsngog 'don ma thub pa byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0057_0231_1429619_to_1432755.wav,STT_PC,3,80,3.136,wav16k/STT_PC0057_0231_1429619_to_1432755.wav,ང་ཚོས་ད་ལྟ་སོ་སོ་ལ་ཡོད་པའི་ཅ་ལག་མང་པོ་ཅིག་གི་རིན་ཐང་དེ་བསྔོག་འདོན་མ་ཐུབ་པ་བཅས།
STT_PC0100_0140_1096154_to_1098362,ཉི་ཧོང་ལ་ཡ་མི་འབོར་གི་རྒས་འཁོགས་ཆགས་པའི་རྐྱེན་གིས་ ,nyi hong la ya mi 'bor gi rgas 'khogs chags pa'i rkyen gis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0100_0140_1096154_to_1098362.wav,STT_PC,3,51,2.208,wav16k/STT_PC0100_0140_1096154_to_1098362.wav,ཉི་ཧོང་ལ་ཡ་མི་འབོར་རྒན་འཁོགས་ཆགས་པའི་རྐྱེན་གིས་
STT_PC0100_0143_1123258_to_1127610,དེ་བ་ཕར་རྒྱལ་ཁབ་མི་འབོར་ལོ་ཆུང་ཆུང་ཡིན་པའི་ཨ་ཧྥི་རི་ཀ་དང་དེ་ཚོ་མང་པོ་ཡོད་རེད་དེ་ལས། ཡིན་ནས་རྒྱལ་ཁབ་རྫིག་པོ་བྱེད་ཐུབ་ཀི་ཡོད་མ་རེད་བ།  ,de ba phar rgyal khab mi 'bor lo chung chung yin pa'i a h+phi ri ka dang de tsho mang po yod red de las/_yin nas rgyal khab rdzig po byed thub ki yod ma red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0100_0143_1123258_to_1127610.wav,STT_PC,3,133,4.352,wav16k/STT_PC0100_0143_1123258_to_1127610.wav,འདེ་བ་ཕར་རྒྱལ་ཁབ་མི་འབོར་ལོ་ཆུང་ཆུང་ཡིན་པའི་ཨ་ཧྥྀ་རི་ཀ་དང་དེ་ཚོ་མང་པོ་ཡོད་རེད་དེ་ལས། ཡིན་ནས་རྒྱལ་ཁབ་རྫིག་པོ་བྱེད་ཐུབ་ཀི་ཡོད་མ་རེད་བ།
STT_PC0100_0146_1139194_to_1142170,གཅིག་བྱེད་དུས་ད་ལྟ་དཔལ་འབྱོར་རིག་པ་མང་པོས་ཟེར་གི་འདུག དེ་དུས་གཡཱི་ཧྥུ་ཞཱན་མ་རེད་ ངས།  ,gcig byed dus da lta dpal 'byor rig pa mang pos zer gi 'dug_de dus g.yI h+phu zhAn ma red _ngas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0100_0146_1139194_to_1142170.wav,STT_PC,3,86,2.976,wav16k/STT_PC0100_0146_1139194_to_1142170.wav,གཅིག་བྱེད་དུས་ད་ལྟ་དཔལ་འབྱོར་རིག་པ་མང་པོ་ཟེར་གི་འདུག དེ་ད་ཡིེ་ཧྥུ་ྱས་མ་རེད་ངས།
STT_PC0100_0147_1144314_to_1147258,འདས་པའི་ཅིག་ལོ་གསུམ་ཅུ་བཞི་བཅུ་ནང་ལ། རྒྱ་ནག་གི་དཔལ་འབྱོར་དེ་ཡིན་ན་ལོ་ལྟར་རེ་གཞི།  ,'das pa'i cig lo gsum cu bzhi bcu nang la/_rgya nag gi dpal 'byor de yin na lo ltar re gzhi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0100_0147_1144314_to_1147258.wav,STT_PC,3,82,2.944,wav16k/STT_PC0100_0147_1144314_to_1147258.wav,འདས་པའི་ཅིག་ལོ་གསུམ་ཅུ་བཞི་བཅུའི་ནང་ལ་རྒྱ་ནག་གི་དཔལ་འབྱོར་དེ་ཡིན་ན་ལོ་ལྟར་ར་ཅིག
STT_MV0024_0163_1535681_to_1540270,ཁོ་མར་འདོན་དགོས་བསམ་ན་ལས་སླ་བོ་ཞིག་ཁྱོན་ནས་ཡོད་མ་རེད།  ,kho mar 'don dgos bsam na las sla bo zhig khyon nas yod ma red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0024_0163_1535681_to_1540270.wav,STT_MV,3,55,4.589,wav16k/STT_MV0024_0163_1535681_to_1540270.wav,ཁོ་མར་བཏོན་དགོས་བསམ་ན་ལས་སླ་པོ་ཞིག་ཁྱོན་ནས་ཡོད་མ་རེད།
STT_PC0100_0141_1103450_to_1105978,ཆིག་སྟོང་དགུ་བརྒྱ་དྲུག་ཅུ་རེ་གྲངས་དེ་བ་སླེབས་པའི་སྐབས་དེར་ཡིན་ན། ཉི་ཧོང་ ,chig stong dgu brgya drug cu re grangs de ba slebs pa'i skabs der yin na/_nyi hong _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0100_0141_1103450_to_1105978.wav,STT_PC,3,73,2.528,wav16k/STT_PC0100_0141_1103450_to_1105978.wav,ཆིག་སྟོང་དགུ་བརྒྱ་དྲུག་ཅུ་རེའི་གྲངས་དེ་བ་སླེབས་པའི་སྐབས་དེར་ཡིན་ན། ཉི་ཧོང་།
